EmpID,Age,AgeGroup,Attrition,EmploymentStatus,BusinessTravel,DailyRate,Department,DistanceFromHome(KM),Education,EducationLevel,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,SalarySlabOrder,HourlyRate,NumCompaniesWorked,Over18,OverTime,OvertimeHoursMonthly,SalaryHike %,PerformanceRating,RelationshipSatisfaction,StandardWorkingHours,StockOptionLevel,TotalExperience(Years),TrainingsLastYear,TrainingHours,WorkLifeBalance,YearsatCompany,YearsinCurrentRole,YearsSincePromotion,YearsWithCurrManager,HireDate,ExitDate,OfficeLocation,WorkMode,EmploymentType,EngagementScore,AbsenceDays,ManagerRating,AnnualBonus,RecruitmentSource,LastPromotionDate,PromotionStatus,ExitReason,SnapshotDate
NX00011,37,36-45,No,Active,Travel_Frequently,7318.18,Sales,20,4,Master's,Business,1,10011,3,Female,4,4,Sales Manager,2,Single,161000,18-25 LPA,5,914.77,3,Y,No,13,9,3,4,160,3,14,1,11,5,10,4,1,6,2016-03-13,,Gurugram,On-site,Full-time,69,6,4,270000,LinkedIn,2025-01-30,Promoted,,2026-05-31
NX00012,26,26-35,Yes,Exited,Travel_Rarely,1590.91,Sales,21,3,Bachelor's,Commerce,1,10012,4,Male,4,1,Sales Executive,3,Single,35000,Below 5 LPA,1,198.86,2,Y,No,0,13,4,4,160,0,4,4,23,4,4,2,3,3,2021-08-06,2025-08-06,Chennai,Remote,Full-time,68,16,3,29000,Company Careers Page,2022-01-05,Promoted,Manager / Team,2026-05-31
NX00013,26,26-35,No,Active,Travel_Rarely,1863.64,Customer Success,10,1,High School,Business,1,10013,3,Male,3,1,Customer Success Associate,3,Married,41000,Below 5 LPA,1,232.95,1,Y,Yes,36,8,2,5,160,0,3,4,43,2,3,0,1,1,2023-05-31,,Jaipur,Hybrid,Full-time,51,3,3,15000,Company Careers Page,2025-04-17,Promoted,,2026-05-31
NX00014,33,26-35,No,Active,Travel_Rarely,2386.36,Customer Success,5,4,Master's,Business,1,10014,4,Male,4,2,Support Specialist,4,Married,52500,5-8 LPA,2,298.3,2,Y,Yes,38,14,4,4,160,0,10,5,38,1,0,0,0,0,2025-06-29,,Hyderabad,Hybrid,Full-time,59,7,4,57000,LinkedIn,,Not Yet Promoted,,2026-05-31
NX00015,39,36-45,No,Active,Travel_Rarely,11795.45,Product,8,3,Bachelor's,Computer Science,1,10015,4,Male,3,4,Senior Product Manager,2,Single,259500,25+ LPA,6,1474.43,3,Y,Yes,30,12,3,5,160,1,17,2,22,3,2,1,0,1,2024-05-30,,Mumbai,Hybrid,Full-time,53,0,3,436000,LinkedIn,2026-04-12,Promoted,,2026-05-31
NX00016,28,26-35,No,Active,Non-Travel,1613.64,Customer Success,8,3,Bachelor's,Business,1,10016,4,Male,3,1,Support Specialist,4,Single,35500,Below 5 LPA,1,201.7,2,Y,No,0,15,4,5,160,0,4,6,70,4,4,1,1,1,2022-05-31,,Bengaluru,On-site,Full-time,90,4,4,30000,LinkedIn,2025-02-01,Promoted,,2026-05-31
NX00017,36,36-45,No,Active,Non-Travel,6318.18,Engineering,3,4,Master's,Computer Science,1,10017,2,Male,3,3,Software Engineer,2,Married,139000,12-18 LPA,4,789.77,3,Y,No,12,11,3,4,160,1,10,2,16,3,8,2,4,3,2018-02-24,,Gurugram,On-site,Full-time,72,6,3,167000,Job Portal,2022-03-18,Promoted,,2026-05-31
NX00018,33,26-35,No,Active,Travel_Frequently,4159.09,Product,11,3,Bachelor's,Engineering,1,10018,3,Male,4,2,UX Designer,3,Divorced,91500,8-12 LPA,3,519.89,1,Y,No,12,15,4,2,160,1,10,0,5,5,4,1,0,3,2022-01-15,,Chennai,Hybrid,Full-time,70,1,3,99000,Company Careers Page,2025-06-29,Promoted,,2026-05-31
NX00019,31,26-35,No,Active,Travel_Frequently,3727.27,Sales,12,4,Master's,Marketing,1,10019,5,Female,4,2,Account Manager,3,Single,82000,8-12 LPA,3,465.91,3,Y,No,12,13,5,4,160,1,7,3,28,5,2,1,2,0,2024-04-25,,Bengaluru,On-site,Full-time,84,5,3,108000,LinkedIn,,Not Yet Promoted,,2026-05-31
NX00020,26,26-35,No,Active,Travel_Rarely,1704.55,Sales,9,4,Master's,Other,1,10020,3,Female,2,1,Sales Executive,4,Married,37500,Below 5 LPA,1,213.07,2,Y,No,0,12,4,4,160,0,3,2,27,5,1,0,1,1,2024-10-22,,Mumbai,Remote,Full-time,80,2,3,32000,Employee Referral,,Not Yet Promoted,,2026-05-31
NX00021,29,26-35,No,Active,Non-Travel,6909.09,Engineering,23,3,Bachelor's,Computer Science,1,10021,4,Male,3,3,Data Engineer,4,Married,152000,18-25 LPA,5,863.64,4,Y,Yes,28,14,4,4,160,1,7,4,33,3,0,0,0,0,2025-11-16,,Gurugram,On-site,Full-time,71,5,5,219000,Campus Hiring,,Not Yet Promoted,,2026-05-31
NX00022,27,26-35,Yes,Exited,Non-Travel,2090.91,Sales,3,2,Diploma,Business,1,10022,4,Male,3,1,Sales Executive,3,Single,46000,5-8 LPA,2,261.36,1,Y,No,0,16,4,4,160,0,5,3,26,3,1,1,1,1,2023-05-15,2025-03-09,Pune,Hybrid,Full-time,74,4,3,39000,Employee Referral,,Not Yet Promoted,Better Opportunity,2026-05-31
NX00023,40,36-45,No,Active,Non-Travel,6090.91,Finance,9,3,Bachelor's,Commerce,1,10023,5,Female,3,3,Senior Financial Analyst,4,Married,134000,12-18 LPA,4,761.36,3,Y,No,0,9,3,5,160,1,11,1,9,3,0,0,0,0,2025-06-18,,Hyderabad,Remote,Full-time,94,2,3,161000,Campus Hiring,,Not Yet Promoted,,2026-05-31
NX00024,33,26-35,Yes,Exited,Non-Travel,3090.91,Human Resources,13,2,Diploma,Human Resources,1,10024,2,Female,3,2,Learning & Development Specialist,3,Single,68000,8-12 LPA,3,386.36,5,Y,No,0,16,4,4,160,0,9,3,22,3,2,1,2,1,2022-04-13,2025-01-11,Hyderabad,Hybrid,Full-time,73,4,4,73000,LinkedIn,2022-07-17,Promoted,Compensation,2026-05-31
NX00025,29,26-35,No,Active,Non-Travel,3590.91,Product,9,5,Doctorate,Business,1,10025,4,Male,3,2,Product Analyst,4,Single,79000,8-12 LPA,3,448.86,1,Y,Yes,35,12,4,5,160,2,6,3,34,5,4,2,2,3,2021-10-10,,Pune,Hybrid,Full-time,78,6,4,85000,Campus Hiring,2024-02-02,Promoted,,2026-05-31
NX00026,27,26-35,Yes,Exited,Travel_Rarely,1818.18,Customer Success,11,3,Bachelor's,Business,1,10026,4,Male,4,1,Customer Success Associate,2,Single,40000,Below 5 LPA,1,227.27,2,Y,Yes,18,14,4,4,160,1,5,4,35,3,1,0,1,1,2022-05-26,2024-05-15,Gurugram,On-site,Full-time,60,13,3,34000,Campus Hiring,,Not Yet Promoted,Career Change,2026-05-31
NX00027,25,18-25,No,Active,Travel_Rarely,1681.82,Operations,4,3,Bachelor's,Supply Chain,1,10027,4,Female,2,1,Operations Executive,4,Married,37000,Below 5 LPA,1,210.23,2,Y,Yes,16,6,2,4,160,0,4,2,17,3,2,0,1,2,2024-02-15,,Pune,Hybrid,Full-time,78,6,5,13000,LinkedIn,2024-10-26,Promoted,,2026-05-31
NX00028,33,26-35,No,Active,Travel_Rarely,5795.45,Finance,11,3,Bachelor's,Commerce,1,10028,3,Male,3,3,Senior Financial Analyst,4,Single,127500,12-18 LPA,4,724.43,3,Y,No,1,10,2,3,160,1,10,4,25,3,1,0,1,0,2024-12-29,,Bengaluru,Hybrid,Full-time,67,13,3,122000,Job Portal,,Not Yet Promoted,,2026-05-31
NX00029,23,18-25,No,Active,Travel_Rarely,1750.0,Customer Success,12,3,Bachelor's,Business,1,10029,4,Female,3,1,Support Specialist,5,Single,38500,Below 5 LPA,1,218.75,2,Y,No,23,19,4,3,160,0,2,7,63,3,1,1,0,1,2024-05-31,,Gurugram,On-site,Full-time,65,6,4,32000,Recruitment Agency,2025-08-07,Promoted,,2026-05-31
NX00030,36,36-45,No,Active,Non-Travel,7068.18,Engineering,7,4,Master's,Computer Science,1,10030,3,Female,3,3,QA Engineer,3,Married,155500,18-25 LPA,5,883.52,3,Y,No,9,14,4,4,160,0,13,4,30,4,2,2,2,2,2023-12-03,,Hyderabad,Hybrid,Full-time,60,5,3,224000,Campus Hiring,,Not Yet Promoted,,2026-05-31
NX00031,48,46-55,No,Active,Non-Travel,12772.73,Marketing,8,3,Bachelor's,Business,1,10031,4,Male,5,5,Marketing Manager,5,Single,281000,25+ LPA,6,1596.59,5,Y,No,11,14,3,4,160,3,25,6,32,4,3,2,0,2,2023-01-16,,Pune,Hybrid,Full-time,75,1,1,607000,Employee Referral,2025-11-28,Promoted,,2026-05-31
NX00032,37,36-45,No,Active,Non-Travel,6795.45,Engineering,1,3,Bachelor's,Computer Science,1,10032,2,Female,2,3,DevOps Engineer,2,Married,149500,12-18 LPA,4,849.43,4,Y,No,7,11,3,3,160,1,12,2,17,3,1,1,1,1,2024-09-26,,Hyderabad,Remote,Full-time,49,3,4,179000,Employee Referral,,Not Yet Promoted,,2026-05-31
NX00033,29,26-35,No,Active,Travel_Rarely,3431.82,Sales,3,3,Bachelor's,Other,1,10033,4,Male,3,2,Account Manager,4,Married,75500,8-12 LPA,3,428.98,3,Y,No,0,16,3,4,160,2,7,2,24,5,0,0,0,0,2026-01-14,,Pune,Hybrid,Full-time,80,5,3,63000,LinkedIn,,Not Yet Promoted,,2026-05-31
NX00034,32,26-35,No,Active,Travel_Rarely,2886.36,Customer Success,17,3,Bachelor's,Business,1,10034,5,Male,2,2,Customer Success Executive,2,Married,63500,5-8 LPA,2,360.8,2,Y,No,0,12,4,3,160,1,8,1,8,5,2,2,2,2,2023-08-16,,Mumbai,Hybrid,Full-time,83,1,3,69000,Employee Referral,,Not Yet Promoted,,2026-05-31
NX00035,32,26-35,Yes,Exited,Travel_Rarely,3227.27,Operations,22,4,Master's,Other,1,10035,3,Male,3,2,Supply Chain Analyst,3,Single,71000,8-12 LPA,3,403.41,5,Y,No,5,14,4,5,160,0,11,2,20,4,0,0,0,0,2024-01-05,2024-09-25,Jaipur,Hybrid,Full-time,56,4,3,77000,Employee Referral,,Not Yet Promoted,Compensation,2026-05-31
NX00036,25,18-25,Yes,Exited,Travel_Rarely,1818.18,Sales,8,5,Doctorate,Commerce,1,10036,3,Female,3,1,Sales Executive,2,Married,40000,Below 5 LPA,1,227.27,3,Y,Yes,14,14,3,4,160,0,1,1,14,2,0,0,0,0,2023-10-01,2024-09-30,Bengaluru,Hybrid,Full-time,67,3,4,24000,LinkedIn,,Not Yet Promoted,Compensation,2026-05-31
NX00037,43,36-45,No,Active,Travel_Rarely,9306.82,Marketing,17,4,Master's,Communication,1,10037,4,Male,3,4,Marketing Manager,4,Single,204750,18-25 LPA,5,1163.35,3,Y,No,18,14,3,5,160,0,14,0,2,4,6,3,4,2,2020-01-08,,Chennai,Hybrid,Contract,78,5,4,344000,LinkedIn,2021-12-23,Promoted,,2026-05-31
NX00038,27,26-35,No,Active,Travel_Rarely,1318.18,Customer Success,5,2,Diploma,Commerce,1,10038,4,Male,5,1,Support Specialist,4,Single,29000,Below 5 LPA,1,164.77,2,Y,No,0,12,4,3,160,0,5,3,34,3,0,0,0,0,2025-10-01,,Bengaluru,Hybrid,Full-time,83,6,3,24000,Recruitment Agency,,Not Yet Promoted,,2026-05-31
NX00039,27,26-35,No,Active,Travel_Rarely,2522.73,Operations,4,2,Diploma,Other,1,10039,4,Male,3,2,Operations Analyst,2,Single,55500,5-8 LPA,2,315.34,4,Y,Yes,19,12,4,5,160,2,4,2,21,3,2,2,2,1,2023-11-19,,Chennai,Hybrid,Full-time,58,3,3,60000,Employee Referral,,Not Yet Promoted,,2026-05-31
NX00040,36,36-45,No,Active,Travel_Rarely,5272.73,Operations,1,2,Diploma,Engineering,1,10040,4,Female,5,3,Operations Manager,1,Married,116000,12-18 LPA,4,659.09,3,Y,Yes,46,14,4,4,160,2,14,4,28,3,1,0,1,0,2025-04-12,,Bengaluru,Hybrid,Full-time,52,7,3,167000,Employee Referral,,Not Yet Promoted,,2026-05-31
NX00041,23,18-25,No,Active,Travel_Rarely,1837.5,Sales,11,3,Bachelor's,Marketing,1,10041,5,Female,2,1,Sales Executive,5,Married,40425,Below 5 LPA,1,229.69,4,Y,No,15,12,3,4,160,0,1,5,44,3,0,0,0,0,2025-05-31,,Hyderabad,On-site,Contract,77,3,3,24000,Employee Referral,,Not Yet Promoted,,2026-05-31
NX00042,31,26-35,Yes,Exited,Travel_Rarely,3409.09,Human Resources,8,3,Bachelor's,Psychology,1,10042,5,Female,2,2,Talent Acquisition Specialist,2,Married,75000,8-12 LPA,3,426.14,3,Y,Yes,13,11,4,3,160,1,9,4,42,2,0,0,0,0,2024-06-08,2025-04-16,Bengaluru,Hybrid,Full-time,64,2,3,81000,LinkedIn,,Not Yet Promoted,Manager / Team,2026-05-31
NX00043,31,26-35,No,Active,Non-Travel,3522.73,Finance,11,2,Diploma,Business,1,10043,5,Male,4,2,Financial Analyst,3,Married,77500,8-12 LPA,3,440.34,2,Y,No,16,12,3,3,160,1,7,3,18,4,2,1,1,2,2023-07-14,,Gurugram,Hybrid,Full-time,67,4,3,65000,Company Careers Page,2025-05-09,Promoted,,2026-05-31
NX00044,27,26-35,No,Active,Non-Travel,1727.27,Customer Success,8,3,Bachelor's,Communication,1,10044,3,Male,3,1,Support Specialist,3,Single,38000,Below 5 LPA,1,215.91,3,Y,Yes,33,14,4,4,160,0,4,3,17,2,0,0,0,0,2025-06-11,,Hyderabad,Hybrid,Full-time,57,7,4,32000,Job Portal,,Not Yet Promoted,,2026-05-31
NX00045,31,26-35,No,Active,Non-Travel,2818.18,Operations,33,2,Diploma,Engineering,1,10045,3,Female,2,2,Supply Chain Analyst,3,Single,62000,5-8 LPA,2,352.27,1,Y,No,0,17,4,3,160,1,3,0,7,5,0,0,0,0,2025-10-16,,Gurugram,Hybrid,Full-time,75,4,4,67000,LinkedIn,,Not Yet Promoted,,2026-05-31
NX00046,37,36-45,No,Active,Non-Travel,4659.09,Customer Success,4,2,Diploma,Business,1,10046,2,Female,4,3,Customer Success Manager,4,Married,102500,12-18 LPA,4,582.39,2,Y,No,11,15,5,4,160,2,15,4,42,2,1,0,1,1,2024-09-03,,Chennai,Hybrid,Full-time,65,9,3,172000,Campus Hiring,2024-12-26,Promoted,,2026-05-31
NX00047,36,36-45,No,Active,Non-Travel,4613.64,Operations,8,3,Bachelor's,Engineering,1,10047,4,Female,2,3,Operations Analyst,4,Married,101500,12-18 LPA,4,576.7,5,Y,No,0,15,4,3,160,2,14,4,44,3,0,0,0,0,2025-12-11,,Mumbai,On-site,Full-time,62,2,4,146000,Campus Hiring,,Not Yet Promoted,,2026-05-31
NX00048,29,26-35,No,Active,Non-Travel,6181.82,Finance,16,4,Master's,Finance,1,10048,2,Female,4,3,Senior Financial Analyst,4,Married,136000,12-18 LPA,4,772.73,2,Y,No,0,11,3,3,160,1,7,2,19,4,2,1,2,1,2024-05-18,,Hyderabad,On-site,Full-time,91,22,3,163000,Job Portal,,Not Yet Promoted,,2026-05-31
NX00049,40,36-45,No,Active,Travel_Frequently,5681.82,Finance,2,3,Bachelor's,Business,1,10049,4,Female,2,3,Senior Financial Analyst,2,Married,125000,12-18 LPA,4,710.23,3,Y,No,0,12,4,4,160,1,16,4,35,2,7,1,3,2,2018-10-30,,Gurugram,Hybrid,Full-time,65,2,4,180000,Company Careers Page,2023-05-08,Promoted,,2026-05-31
NX00050,26,26-35,No,Active,Travel_Rarely,2045.45,Operations,16,4,Master's,Supply Chain,1,10050,5,Male,3,1,Operations Executive,4,Married,45000,5-8 LPA,2,255.68,1,Y,Yes,35,14,4,3,160,0,5,0,8,3,0,0,0,0,2025-11-24,,Bengaluru,Remote,Full-time,87,5,5,38000,Employee Referral,,Not Yet Promoted,,2026-05-31
NX00051,31,26-35,No,Active,Non-Travel,3340.91,Operations,15,3,Bachelor's,Engineering,1,10051,4,Female,3,2,Operations Analyst,5,Divorced,73500,8-12 LPA,3,417.61,3,Y,No,1,10,4,3,160,0,9,1,13,3,1,0,1,0,2025-05-03,,Hyderabad,On-site,Full-time,83,2,4,79000,Campus Hiring,,Not Yet Promoted,,2026-05-31
NX00052,33,26-35,Yes,Exited,Travel_Rarely,3977.27,Sales,9,3,Bachelor's,Marketing,1,10052,2,Female,3,2,Account Manager,4,Married,87500,8-12 LPA,3,497.16,2,Y,No,0,12,3,3,160,0,9,3,37,4,2,2,2,2,2022-03-15,2024-07-25,Bengaluru,Hybrid,Full-time,60,13,3,74000,Company Careers Page,,Not Yet Promoted,Career Change,2026-05-31
NX00053,23,18-25,Yes,Exited,Travel_Frequently,1789.77,Customer Success,12,3,Bachelor's,Business,1,10053,1,Male,4,1,Support Specialist,2,Single,39375,Below 5 LPA,1,223.72,1,Y,No,7,14,4,3,160,0,0,4,21,3,0,0,0,0,2025-01-26,2025-11-14,Pune,On-site,Contract,57,1,2,33000,Campus Hiring,,Not Yet Promoted,Career Change,2026-05-31
NX00054,43,36-45,No,Active,Travel_Rarely,8409.09,Sales,17,4,Master's,Commerce,1,10054,3,Female,4,4,Sales Manager,5,Single,185000,18-25 LPA,5,1051.14,3,Y,No,0,16,4,4,160,2,12,4,45,3,3,2,3,3,2022-11-28,,Bengaluru,Hybrid,Full-time,78,8,3,355000,Company Careers Page,2023-02-18,Promoted,,2026-05-31
NX00055,28,26-35,No,Active,Travel_Frequently,1727.27,Sales,4,3,Bachelor's,Marketing,1,10055,3,Male,4,1,Sales Executive,3,Divorced,38000,Below 5 LPA,1,215.91,1,Y,Yes,26,14,3,3,160,0,6,3,31,3,0,0,0,0,2025-11-02,,Bengaluru,Hybrid,Full-time,55,2,3,23000,Company Careers Page,,Not Yet Promoted,,2026-05-31
NX00056,29,26-35,No,Active,Non-Travel,3659.09,Finance,11,3,Bachelor's,Business,1,10056,5,Male,4,2,Financial Analyst,3,Single,80500,8-12 LPA,3,457.39,3,Y,No,4,14,3,4,160,2,5,0,6,4,1,0,1,0,2025-04-11,,Bengaluru,Hybrid,Full-time,79,2,4,68000,LinkedIn,,Not Yet Promoted,,2026-05-31
NX00057,31,26-35,Yes,Exited,Non-Travel,3545.45,Finance,5,3,Bachelor's,Other,1,10057,4,Male,3,2,Financial Analyst,3,Single,78000,8-12 LPA,3,443.18,4,Y,No,0,10,3,4,160,2,9,4,37,5,4,0,4,2,2019-09-30,2024-04-22,Bengaluru,Hybrid,Full-time,76,3,3,66000,LinkedIn,,Not Yet Promoted,Better Opportunity,2026-05-31
NX00058,30,26-35,No,Active,Travel_Rarely,3181.82,Finance,3,4,Master's,Finance,1,10058,5,Male,4,2,Accountant,4,Married,70000,8-12 LPA,3,397.73,4,Y,No,11,13,4,4,160,1,8,1,9,4,3,1,3,1,2023-01-04,,Chennai,Hybrid,Full-time,92,3,4,76000,Company Careers Page,,Not Yet Promoted,,2026-05-31
NX00059,45,36-45,No,Active,Travel_Rarely,16045.45,Engineering,15,3,Bachelor's,Computer Science,1,10059,3,Female,4,5,Engineering Manager,5,Married,353000,25+ LPA,6,2005.68,5,Y,No,16,15,4,4,160,3,24,1,7,2,1,1,0,1,2024-06-23,,Chennai,Hybrid,Full-time,80,3,4,847000,Job Portal,2025-07-16,Promoted,,2026-05-31
NX00060,29,26-35,Yes,Exited,Non-Travel,3454.55,Sales,4,4,Master's,Business,1,10060,2,Male,4,2,Account Manager,4,Married,76000,8-12 LPA,3,431.82,2,Y,Yes,14,12,3,4,160,0,5,4,40,3,4,3,4,2,2018-08-17,2023-08-02,Pune,Hybrid,Full-time,66,1,3,64000,Job Portal,2018-10-31,Promoted,Personal Reasons,2026-05-31
NX00061,28,26-35,No,Active,Travel_Rarely,2068.18,Product,1,3,Bachelor's,Design,1,10061,3,Female,4,1,Product Analyst,4,Single,45500,5-8 LPA,2,258.52,1,Y,No,10,14,4,5,160,0,4,3,24,2,2,1,1,1,2023-11-13,,Mumbai,Remote,Full-time,79,2,4,38000,Company Careers Page,2025-01-22,Promoted,,2026-05-31
NX00062,25,18-25,No,Active,Travel_Rarely,1977.27,Customer Success,5,4,Master's,Other,1,10062,3,Male,4,1,Customer Success Associate,3,Single,43500,5-8 LPA,2,247.16,3,Y,Yes,38,12,2,3,160,0,3,0,7,2,3,2,2,0,2023-05-31,,Pune,Hybrid,Full-time,56,2,3,16000,Recruitment Agency,2024-02-27,Promoted,,2026-05-31
NX00063,34,26-35,No,Active,Travel_Rarely,3006.82,Human Resources,15,3,Bachelor's,Human Resources,1,10063,3,Female,3,2,Learning & Development Specialist,3,Single,66150,5-8 LPA,2,375.85,2,Y,No,9,18,4,4,160,0,7,6,48,4,3,2,3,2,2023-04-24,,Mumbai,Hybrid,Contract,74,9,3,71000,Job Portal,,Not Yet Promoted,,2026-05-31
NX00064,33,26-35,No,Active,Travel_Rarely,3409.09,Customer Success,12,4,Master's,Communication,1,10064,5,Female,4,2,Customer Success Executive,5,Single,75000,8-12 LPA,3,426.14,2,Y,No,0,14,3,3,160,1,10,5,57,3,8,1,5,2,2018-01-24,,Mumbai,On-site,Full-time,85,7,4,63000,LinkedIn,2021-04-24,Promoted,,2026-05-31
NX00065,25,18-25,No,Active,Non-Travel,1954.55,Engineering,7,3,Bachelor's,Computer Science,1,10065,4,Male,2,1,Software Engineer,5,Married,43000,5-8 LPA,2,244.32,1,Y,Yes,23,14,3,3,160,0,3,2,18,2,2,2,2,1,2023-10-02,,Bengaluru,Remote,Full-time,80,5,3,26000,LinkedIn,,Not Yet Promoted,,2026-05-31
NX00066,26,26-35,Yes,Exited,Travel_Rarely,1312.5,Customer Success,19,4,Master's,Business,1,10066,4,Male,2,1,Customer Success Associate,3,Single,28875,Below 5 LPA,1,164.06,2,Y,Yes,24,14,4,4,160,0,2,6,68,3,1,0,1,1,2023-12-26,2025-12-25,Bengaluru,On-site,Contract,58,1,2,24000,Campus Hiring,2024-07-21,Promoted,Better Opportunity,2026-05-31
NX00067,43,36-45,No,Active,Non-Travel,8909.09,Product,5,4,Master's,Computer Science,1,10067,4,Female,5,4,Product Manager,2,Single,196000,18-25 LPA,5,1113.64,2,Y,Yes,35,15,5,3,160,2,12,0,2,3,1,0,0,1,2025-01-30,,Bengaluru,Hybrid,Full-time,62,4,5,423000,Employee Referral,2026-03-28,Promoted,,2026-05-31
NX00068,36,36-45,No,Active,Travel_Frequently,7863.64,Engineering,7,3,Bachelor's,Computer Science,1,10068,4,Female,4,3,Senior Software Engineer,5,Married,173000,18-25 LPA,5,982.95,4,Y,No,4,11,4,3,160,1,11,5,37,5,1,0,1,1,2025-02-12,,Gurugram,On-site,Full-time,98,4,4,249000,Recruitment Agency,,Not Yet Promoted,,2026-05-31
